L_Scene,R_Scene,Points_L,Points_R,PtTotal,blockFile,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Encoding_Loop.thisRepN,Practice_Encoding_Loop.thisTrialN,Practice_Encoding_Loop.thisN,Practice_Encoding_Loop.thisIndex,Practice_Response_Fail_Loop.thisRepN,Practice_Response_Fail_Loop.thisTrialN,Practice_Response_Fail_Loop.thisN,Practice_Response_Fail_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,Practice_Attention_Loop.thisRepN,Practice_Attention_Loop.thisTrialN,Practice_Attention_Loop.thisN,Practice_Attention_Loop.thisIndex,Practice_EncBrk_Loop.thisRepN,Practice_EncBrk_Loop.thisTrialN,Practice_EncBrk_Loop.thisN,Practice_EncBrk_Loop.thisIndex,Encoding_Loop.thisRepN,Encoding_Loop.thisTrialN,Encoding_Loop.thisN,Encoding_Loop.thisIndex,EncStim_Loop.thisRepN,EncStim_Loop.thisTrialN,EncStim_Loop.thisN,EncStim_Loop.thisIndex,Response_Fail_Loop.thisRepN,Response_Fail_Loop.thisTrialN,Response_Fail_Loop.thisN,Response_Fail_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,Attention_Loop.thisRepN,Attention_Loop.thisTrialN,Attention_Loop.thisN,Attention_Loop.thisIndex,EncBrk_Loop.thisRepN,EncBrk_Loop.thisTrialN,EncBrk_Loop.thisN,EncBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.started,Encoding_Resp.keys,Encoding_Resp.rt,R_Point_FB_Stim.started,Attn_resp.keys,Attn_resp.rt,Progress_Tracker.started,EncBrk_Resp.keys,EncBrk_Resp.rt,Encoding_Resp.stopped,participant,Group,date,expName,psychopyVersion,frameRate,
2440.jpg,4658.jpg,1 Points,1 Points,27 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,168.84026483299994,p,0.33894508299994186,169.21540870799998,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
6834.jpg,9120.jpg,5 Points,5 Points,32 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,173.468566458,p,0.7732307910000031,174.276769042,o,2.3399566659999778,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
9230.jpg,9181.jpg,0 Points,0 Points,32 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,180.90233341699997,p,0.5621046240000283,181.498454083,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
8260.jpg,8280.jpg,5 Points,5 Points,37 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,185.76071066699996,p,0.09432766599996967,185.895282625,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
9470.jpg,9400.jpg,3 Points,3 Points,40 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,190.158976667,p,0.09312037500006909,190.288648583,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
2616.jpg,7238.jpg,4 Points,4 Points,44 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,194.54878045799995,p,0.15305012499999293,194.73678054199996,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
9430.jpg,3010.jpg,5 Points,5 Points,49 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,199.00562095799995,p,0.14373754199999667,199.17917416699999,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
4690.jpg,1321.jpg,3 Points,3 Points,52 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,203.45022699999998,p,0.32973254200004476,203.81767595799994,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
4001.jpg,2271.jpg,2 Points,2 Points,54 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,208.08163733299995,p,0.0794926239998972,208.20272604199994,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
9180.jpg,9046.jpg,3 Points,3 Points,57 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,212.45263970799994,p,0.2375549579999756,212.73001341699995,,,,,,,02138,A,2024-05-29_23h21.03.857,EPIDM,2022.2.5,None,
